GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047000100,36047000100,1,923,1.1,220,4.5
1400000US36047000200,36047000200,2,251,12,140,21.4
1400000US36047000301,36047000301,3.01,1052,0,505,0
1400000US36047000501,36047000501,5.01,713,7.3,276,14.1
1400000US36047000502,36047000502,5.02,542,0,165,0
1400000US36047000700,36047000700,7,808,0.7,356,1.7
1400000US36047000900,36047000900,9,885,1.8,365,2.2
1400000US36047001100,36047001100,11,36,27.8,10,100
1400000US36047001300,36047001300,13,366,1.6,75,0
1400000US36047001500,36047001500,15,471,27.2,221,21.3
1400000US36047001800,36047001800,18,0,0,0,0
1400000US36047002000,36047002000,20,381,12.1,275,9.1
1400000US36047002100,36047002100,21,698,2.4,352,0
1400000US36047002200,36047002200,22,1036,9.2,547,17.4
1400000US36047002300,36047002300,23,1142,46.7,730,61
1400000US36047002901,36047002901,29.01,585,62.1,435,76.1
1400000US36047003000,36047003000,30,476,10.5,249,12
1400000US36047003100,36047003100,31,219,0,112,0
1400000US36047003300,36047003300,33,382,5.2,196,10.2
1400000US36047003400,36047003400,34,777,6.7,345,1.7
1400000US36047003500,36047003500,35,305,3.6,118,9.3
1400000US36047003600,36047003600,36,998,6.3,362,11.9
1400000US36047003700,36047003700,37,51,0,20,0
1400000US36047003800,36047003800,38,385,13.8,203,9.4
1400000US36047003900,36047003900,39,347,12.7,119,12.6
1400000US36047004100,36047004100,41,678,5.8,351,3.4
1400000US36047004300,36047004300,43,533,0,335,0
1400000US36047004400,36047004400,44,690,1.9,193,6.7
1400000US36047004500,36047004500,45,835,0,389,0
1400000US36047004600,36047004600,46,289,22.5,159,40.9
1400000US36047004700,36047004700,47,292,3.4,152,6.6
1400000US36047004900,36047004900,49,425,0,211,0
1400000US36047005000,36047005000,50,600,1.7,221,4.5
1400000US36047005100,36047005100,51,509,0,268,0
1400000US36047005201,36047005201,52.01,286,19.2,68,0
1400000US36047005202,36047005202,52.02,607,1.8,221,5
1400000US36047005300,36047005300,53,431,11.4,210,14.3
1400000US36047005400,36047005400,54,770,17.9,287,34.1
1400000US36047005601,36047005601,56.01,630,8.6,267,14.2
1400000US36047005602,36047005602,56.02,404,16.3,196,24.5
1400000US36047005800,36047005800,58,806,10.4,331,13
1400000US36047005900,36047005900,59,208,5.3,100,11
1400000US36047006000,36047006000,60,619,3.4,190,11.1
1400000US36047006200,36047006200,62,643,12,359,18.4
1400000US36047006300,36047006300,63,405,0,143,0
1400000US36047006400,36047006400,64,919,10.7,383,15.1
1400000US36047006500,36047006500,65,1080,10.3,553,11
1400000US36047006600,36047006600,66,874,4.6,457,4.6
1400000US36047006700,36047006700,67,726,0,324,0
1400000US36047006800,36047006800,68,1157,17.1,667,26.4
1400000US36047006900,36047006900,69,599,1.8,264,4.2
1400000US36047007000,36047007000,70,689,13.8,257,7.8
1400000US36047007100,36047007100,71,1225,27.1,696,34.5
1400000US36047007200,36047007200,72,446,21.3,213,29.6
1400000US36047007400,36047007400,74,1197,33.7,859,39.7
1400000US36047007500,36047007500,75,1089,3.4,611,4.3
1400000US36047007600,36047007600,76,1096,23.8,598,36.1
1400000US36047007700,36047007700,77,1035,5,524,1.5
1400000US36047007800,36047007800,78,1190,21.1,788,28.2
1400000US36047008000,36047008000,80,938,33.6,578,35.8
1400000US36047008200,36047008200,82,1032,23.6,635,30.1
1400000US36047008400,36047008400,84,863,40.2,629,48.5
1400000US36047008500,36047008500,85,2224,47.3,1501,50.6
1400000US36047008600,36047008600,86,0,0,0,0
1400000US36047008800,36047008800,88,675,24.6,303,49.8
1400000US36047009000,36047009000,90,672,30.2,462,41.8
1400000US36047009200,36047009200,92,1228,27.4,875,31.8
1400000US36047009400,36047009400,94,1127,16.3,637,26.7
