GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047000100,36047000100,1,894,1.7,338,4.4
1400000US36047000200,36047000200,2,262,22.1,178,32.6
1400000US36047000301,36047000301,3.01,808,0,337,0
1400000US36047000501,36047000501,5.01,775,8.5,355,18.6
1400000US36047000502,36047000502,5.02,540,6.9,175,10.3
1400000US36047000700,36047000700,7,847,0.6,432,1.2
1400000US36047000900,36047000900,9,897,1,358,2.5
1400000US36047001100,36047001100,11,136,4.4,0,0
1400000US36047001300,36047001300,13,374,0,117,0
1400000US36047001500,36047001500,15,888,25.2,416,38
1400000US36047001800,36047001800,18,0,0,0,0
1400000US36047002000,36047002000,20,294,11.9,217,16.1
1400000US36047002100,36047002100,21,925,0.8,583,0
1400000US36047002200,36047002200,22,1066,22.5,446,39.7
1400000US36047002300,36047002300,23,1098,44.4,551,64.6
1400000US36047002901,36047002901,29.01,803,60.5,497,80.3
1400000US36047003000,36047003000,30,517,5,223,8.5
1400000US36047003100,36047003100,31,322,0,115,0
1400000US36047003300,36047003300,33,411,19,155,21.9
1400000US36047003400,36047003400,34,808,9.5,387,11.1
1400000US36047003500,36047003500,35,363,3,151,0
1400000US36047003600,36047003600,36,1023,6.2,461,11.9
1400000US36047003700,36047003700,37,116,6,62,0
1400000US36047003800,36047003800,38,465,9.2,189,9
1400000US36047003900,36047003900,39,387,7.2,194,0
1400000US36047004100,36047004100,41,665,3.9,376,0
1400000US36047004300,36047004300,43,568,0,273,0
1400000US36047004400,36047004400,44,681,5.1,221,11.3
1400000US36047004500,36047004500,45,748,0,309,0
1400000US36047004600,36047004600,46,383,12.3,203,23.2
1400000US36047004700,36047004700,47,419,2.4,237,4.2
1400000US36047004900,36047004900,49,513,0,223,0
1400000US36047005000,36047005000,50,563,0,217,0
1400000US36047005100,36047005100,51,499,1.4,245,0
1400000US36047005201,36047005201,52.01,334,26,119,0
1400000US36047005202,36047005202,52.02,557,3.4,223,0
1400000US36047005300,36047005300,53,467,18,267,13.9
1400000US36047005400,36047005400,54,852,12.8,336,13.4
1400000US36047005601,36047005601,56.01,564,12.1,253,26.9
1400000US36047005602,36047005602,56.02,411,3.4,189,0
1400000US36047005800,36047005800,58,696,15.2,321,23.1
1400000US36047005900,36047005900,59,238,16,124,21
1400000US36047006000,36047006000,60,676,4,266,3.4
1400000US36047006200,36047006200,62,641,16.8,371,17
1400000US36047006300,36047006300,63,435,3,195,6.7
1400000US36047006400,36047006400,64,843,10.8,384,21.6
1400000US36047006500,36047006500,65,1048,8.1,452,11.7
1400000US36047006600,36047006600,66,764,6.9,434,8.3
1400000US36047006700,36047006700,67,925,0.9,466,0
1400000US36047006800,36047006800,68,1163,22.4,700,29.7
1400000US36047006900,36047006900,69,570,3,309,5.5
1400000US36047007000,36047007000,70,659,13.8,305,13.4
1400000US36047007100,36047007100,71,1284,32.7,811,39.1
1400000US36047007200,36047007200,72,502,37.8,274,48.5
1400000US36047007400,36047007400,74,1262,29.7,873,33.8
1400000US36047007500,36047007500,75,1153,0,574,0
1400000US36047007600,36047007600,76,945,29.5,453,40.8
1400000US36047007700,36047007700,77,987,3.9,536,0.9
1400000US36047007800,36047007800,78,1053,25.7,661,28.1
1400000US36047008000,36047008000,80,865,20.8,582,24.1
1400000US36047008200,36047008200,82,972,28.5,551,32.8
1400000US36047008400,36047008400,84,780,29.6,543,35.7
1400000US36047008500,36047008500,85,1936,46.4,1274,51
1400000US36047008600,36047008600,86,0,0,0,0
1400000US36047008800,36047008800,88,759,10.3,345,16.2
1400000US36047009000,36047009000,90,712,32.3,414,47.6
