longitude,latitude,DBN,school,district,open_date,school_add,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,GrowthDecline,Growth,Decline
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",627,590,586,638,634,616,567,513,506,431,-214,,214
-73.9929319,40.7007522,13K008,P.S. 008 Robert Fulton,13,1907,"37 Hicks Street, Brooklyn, NY 11201",429,491,532,541,552,589,712,848,880,925,556,556,
-73.9659017965,40.678202194,13K009,P.S. 009 Teunis G. Bergen,13,1957,"80 Underhill Avenue, Brooklyn, NY 11238",515,533,518,538,596,645,667,722,796,832,292,292,
-73.966094,40.6857169,13K011,P.S. 011 Purvis J. Behan,13,1958,"419 Waverly Avenue, Brooklyn, NY 11238",488,500,521,574,598,640,712,733,803,836,335,335,
-73.9711713941,40.6913946702,13K020,P.S. 020 Clinton Hill,13,1951,"225 Adelphi Street, Brooklyn, NY 11205",429,437,397,366,357,325,320,321,377,402,-49,,49
-73.9413020206,40.6862058936,13K044,P.S. 044 Marcus Garvey,13,1951,"432 Monroe Street, Brooklyn, NY 11221",601,537,486,442,379,339,322,287,261,215,-410,,410
-73.9717114989,40.6946257668,13K046,P.S. 046 Edward C. Blum,13,1960,"100 Clermont Avenue, Brooklyn, NY 11205",391,394,348,375,401,381,412,417,399,359,-71,,71
-73.9526505204,40.6926059544,13K054,P.S. 054 Samuel C. Barnes,13,1922,"195 Sanford Street, Brooklyn, NY 11205",389,342,277,283,286,279,285,251,248,246,-227,,227
-73.9607226,40.6848318,13K056,P.S. 056 Lewis H. Latimer,13,1966,"170 Gates Avenue, Brooklyn, NY 11238",358,348,323,296,290,258,238,236,230,200,-208,,208
-73.9778348292,40.6947787326,13K067,P.S. 067 Charles A. Dorsey,13,1923,"51 Saint Edwards Street, Brooklyn, NY 11205",278,245,224,228,252,266,304,276,234,228,-78,,78
-73.9465326396,40.6786148115,13K093,P.S. 093 William H. Prescott,13,1909,"31 New York Avenue, Brooklyn, NY 11216",473,428,415,402,413,392,380,338,306,307,-174,,174
