longitude,latitude,DBN,school,district,open_date,school_add,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,GrowthDecline,Growth,Decline
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",627,,,,,,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,590,,,,,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,586,,,,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,638,,,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,634,,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,,616,,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,,,567,,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,,,,513,,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,,,,,506,,-214,,214
-73.9552708454,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,"50 Jefferson Avenue, Brooklyn, NY 11216",,,,,,,,,,431,-214,,214
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,
